"Subject Catalog Nbr
",Title,"Instructors

","Term
","Term Code
",Cross- listed,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP,S,U,I,W,IP,-,Total
THEA- 10,Intro to Design,"Baron,Brandin S.",2011 Fall,,,17,43,11,4,2,1,1,1,,,,,0,0,0,,,,0,,,
ENVS- 141,Ecological Econ,"Barsimantov,James Albert",2011 Fall,,,0,15,18,4,20,2,0,4,,,,,1,6,0,,,,1,,,
EDUC- 60,Intro to Education,"Bartlett,Lora",2011 Fall,,,12,65,59,46,52,21,15,11,,,,,2,16,0,,,,1,,,
PHYE- 30J,Strength Training,"Barton,Katharine Kimball",2011 Fall,,,0,0,0,0,0,0,0,0,,,,,0,17,6,,,,0,,,
BIOE- 140,Behavioral Ecology,"Bastiaans,Elizabeth Jane",2011 Fall,,,3,9,5,5,31,10,10,22,,,,,0,0,0,,,,1,,,
HIS- 147B,Poli/Soc Mod S Asia,"Basu,Dilip K",2011 Fall,,,0,7,5,5,5,4,1,4,,,,,3,0,1,,,,0,,,
MATH- 3,Precalculus,"Basu,Dilip K",2011 Fall,,,0,46,21,31,57,14,21,111,,,,,22,8,2,,,,2,,,
MATH- 19A,"Calc:Sci,Engin,Math","Basu,Dilip K",2011 Fall,,,0,33,4,7,34,12,15,35,,,,,17,0,0,,,,3,,,
CLTE- 199F,Independent Study,"Baxter,Wendy",2011 Fall,,,0,11,0,0,0,0,1,0,,,,,0,1,0,,,,0,,,
MUSC- 101C,Hist West Art Music,"Beal,Amy C",2011 Fall,,,3,6,3,6,9,1,1,2,,,,,0,0,0,,,,1,,,
LTEL- 170H,Dickinson/Am Poets,"Beard,Jessica Jeanne",2011 Fall,,,1,11,2,5,6,3,0,0,,,,,1,1,0,,,,1,,,
SOCY- 156,US Latino Identity,"Bearns,Stuyvesant Galard Brassa",2011 Fall,,,1,7,7,4,9,4,2,2,,,,,0,1,0,,,,1,,,
FILM- 172,Film & Video Studio,"Beaver,Christopher",2011 Fall,,,0,8,5,6,0,0,0,1,,,,,0,0,0,,,,0,,,
HIS- 170B,Fren His:19 Century,"Beecher,Jonathan F",2011 Fall,,,1,11,10,7,7,7,3,6,,,,,3,2,0,,,,2,,,
CLNI- 80A,UD:Intl/Global Issues,"Benanav,Aaron",2011 Fall,,,0,5,4,11,1,2,0,0,,,,,0,0,0,,,,0,,,
LTEL- 190L,English Lang Lit,"Berger,Harry",2011 Fall,,,7,16,0,0,0,0,0,0,,,,,0,1,0,,,,0,,,
MATH- 11B,Calculus with Apps,"Berger,Harry",2011 Fall,,,18,81,13,17,30,7,4,23,,,,,10,0,0,,,,3,,,
MATH- 19A,"Calc:Sci,Engin,Math","Berger,Harry",2011 Fall,,,11,81,10,20,33,4,3,26,,,,,0,2,0,,,,2,,,
MUSC- 1C,Concert Choir,"Berman,Nathaniel Aaron",2011 Fall,,,0,33,2,1,0,0,0,0,,,,,0,1,0,,,,0,,,
BIOE- 127,Ichthyology,"Berman,Nathaniel Aaron",2011 Fall,,,13,15,15,20,24,32,7,6,,,,,0,0,0,,,,0,,,
BIOE- 127L,Ichthyology Lab,"Berman,Nathaniel Aaron",2011 Fall,,,5,8,7,3,0,1,0,0,,,,,0,0,0,,,,0,,,
CHEM- 112A,Organic Chemistry,"Bernasconi,Claude F",2011 Fall,,,4,9,12,15,12,8,9,6,,,,,4,0,0,,,,0,,,
EDUC- 180,Intro To Teaching,"Bernasconi,Natalie Renee",2011 Fall,,,1,69,20,9,5,2,1,1,,,,,0,1,0,,,,1,,,
ASTR- 2,Overview Universe,"Bernstein,Rebecca A",2011 Fall,,,7,6,8,16,21,6,0,44,,,,,3,42,0,,,,4,,,
POLI- 190L,Poverty Politics,"Bertram,Eva C",2011 Fall,,,0,1,10,4,3,2,1,0,,,,,0,0,0,,,,0,,,
BIOL- 105,Genetics,"Bhalla,Needhi",2011 Fall,,,1,3,32,22,25,62,27,97,,,,,37,0,0,,,,10,,,
MATH- 2,Col Algbra/Calculus,"Bhalla,Needhi",2011 Fall,,,2,27,9,6,39,11,8,59,,,,,35,11,0,,,,2,,,
MATH- 3,Precalculus,"Bhalla,Needhi",2011 Fall,,,1,47,10,7,86,18,0,119,,,,,80,1,2,,,,3,,,
THEA- 157,Playwriting,"Bhalla,Needhi",2011 Fall,,,8,67,3,2,35,1,0,17,,,,,3,5,0,,,,0,,,
THEA- 163A,Shakespeare,"Bhalla,Needhi",2011 Fall,,,0,10,8,3,5,2,2,1,,,,,0,2,0,,,,0,,,
PHYE- 25A,Fencing: Epee,"Bhalla,Needhi",2011 Fall,,,0,0,0,0,0,0,0,0,,,,,0,15,3,,,,1,,,
PHYE- 25B,Fencing: Foil,"Bhalla,Needhi",2011 Fall,,,0,0,0,0,0,0,0,0,,,,,0,11,4,,,,0,,,
PHYE- 25C,Fencing: Sabre,"Bhalla,Needhi",2011 Fall,,,0,0,0,0,0,0,0,0,,,,,0,11,1,,,,2,,,
PHYE- 30H,Tai Chi Chuan,"Bhalla,Needhi",2011 Fall,,,0,0,0,0,0,0,0,0,,,,,0,25,4,,,,5,,,
ANTH- 176B,Mesoamer Archaeolog,"Blackmore,Chelsea",2011 Fall,,,3,0,6,10,12,6,4,6,,,,,6,5,0,,,,1,,,
COWL- 80A,UD: Imagining Justice,"Blood,Harold Christian",2011 Fall,,,0,0,4,12,0,1,0,0,,,,,0,0,0,,,,0,,,
JAPN- 1,Japanese Language,"Bohn,Mariko Tajima",2011 Fall,,,9,24,6,7,4,5,4,0,,,,,2,0,0,,,,1,,,
PHIL- 9,Intro To Logic,"Bohn,Mariko Tajima",2011 Fall,,,17,10,16,10,11,12,4,7,,,,,6,10,2,,,,4,,,
PHIL- 100A,Ancient Greek Phil,"Bohn,Mariko Tajima",2011 Fall,,,35,22,16,7,2,1,2,0,,,,,1,1,0,,,,1,,,
BIOL- 15,Research Reports,"Bowman,Barry J",2011 Fall,,,0,22,0,0,0,0,0,0,,,,,0,3,0,,,,0,,,
AMST- 180,TopicsAmericanStudies,"Brahinsky,Joshua D",2011 Fall,,,0,8,7,3,3,3,1,1,,,,,0,1,0,,,,0,,,
THEA- 40,Intro To Directing,"Brandt,Kirsten L.",2011 Fall,,,0,7,10,6,4,6,4,1,,,,,1,2,0,,,,1,,,
CMPE- 107,Probability/Stats,"Brandwajn,Alexandre",2011 Fall,,,3,6,9,12,13,8,15,1,,,,,7,0,0,,,,0,,,
ANTH- 142,Anthropology of Law,"Brandwajn,Alexandre",2011 Fall,,,3,9,6,9,4,4,1,1,,,,,1,0,0,,,,0,,,
ANTH- 194S,Anthroplgy of Sound,"Brandwajn,Alexandre",2011 Fall,,,0,13,4,4,0,0,0,0,,,,,0,0,0,,,,0,,,
LGST- 142,Anthropology of Law,"Brandwajn,Alexandre",2011 Fall,,,2,12,5,8,4,1,0,0,,,,,0,2,0,,,,0,,,
POLI- 121,Black Politics,"Brown,Michael K",2011 Fall,,,2,1,5,2,3,3,1,2,,,,,1,0,0,,,,0,,,
HIS- 80X,Civil Rights Movmnt,"Brundage,David T",2011 Fall,,,5,19,24,12,15,4,2,2,,,,,2,4,0,,,,0,,,
CLNI- 80A,UD:Intl/Global Issues,"Bryant-Anderson,Rachel Lynne",2011 Fall,,,0,6,6,4,19,7,0,2,,,,,0,0,0,,,,0,,,
CRWN- 70,Intro to Radio,"Bryant,Michael L",2011 Fall,,,3,5,3,0,1,0,1,1,,,,,0,0,0,,,,0,,,
SOCY- 169,Social Inequality,"Burke,Jennifer Leigh",2011 Fall,,,0,1,3,4,8,2,5,7,,,,,1,0,0,,,,0,,,
MUSC- 8,Balinese Gamelan,"Burman-Hall,Linda C",2011 Fall,,,5,5,0,0,0,0,0,0,,,,,0,0,0,,,,0,,,
FREN- 3,Instr French Lang,"Burman-Hall,Linda C",2011 Fall,,,2,7,2,3,1,1,0,0,,,,,0,4,0,,,,0,,,
FREN- 4,Intermed French,"Burman-Hall,Linda C",2011 Fall,,,0,8,9,10,3,0,1,1,,,,,0,4,0,,,,0,,,
SPAN- 5,Intermed Spanish,"Burman-Hall,Linda C",2011 Fall,,,0,8,11,10,5,0,0,0,,,,,1,4,2,,,,2,,,
SPAN- 6,Intermed/Adv Span,"Burman-Hall,Linda C",2011 Fall,,,0,4,9,4,1,1,0,0,,,,,2,2,0,,,,1,,,
PSYC- 1,Intro Psychology,"Burman-Hall,Linda C",2011 Fall,,,8,27,26,30,59,47,20,43,,,,,11,1,1,,,,1,,,
PSYC- 194A,Adv Devel Research,"Burman-Hall,Linda C",2011 Fall,,,1,8,3,1,1,0,1,0,,,,,0,0,0,,,,0,,,
CLEI- 80A,UD:Environ/Society,"Calsoyas,Candace",2011 Fall,,,0,10,6,7,18,1,0,0,,,,,0,1,0,,,,0,,,
STEV- 80A,UD:Self & Society,"Camblin,Caren Elise",2011 Fall,,,4,18,6,2,7,0,0,3,,,,,0,0,1,,,,0,,,
HAVC- 110,West Afr Vis Cultur,"Cameron,Elisabeth L",2011 Fall,,,0,7,16,2,9,2,1,1,,,,,0,2,0,,,,0,,,
GERM- 1,Instr German Lang,"Cameron,Elisabeth L",2011 Fall,,,0,9,5,14,5,2,2,1,,,,,1,4,0,,,,1,,,
GERM- 4,Intermediate German,"Cameron,Elisabeth L",2011 Fall,,,1,12,1,5,4,2,0,1,,,,,0,6,0,,,,0,,,
CLTE- 80A,UD:Social Justice,"Cameron,Elisabeth L",2011 Fall,,,0,10,6,0,3,1,1,0,,,,,0,4,0,,,,0,,,
OAKS- 80A,UD:CommunicatingDiversity,"Cameron,Elisabeth L",2011 Fall,,,1,6,5,3,3,2,0,2,,,,,0,0,0,,,,0,,,
PSYC- 115,Dev Psychopathology,"Cameron,Elisabeth L",2011 Fall,,,3,79,29,20,11,9,9,6,,,,,2,0,0,,,,1,,,
PSYC- 170,Abnormal Psychology,"Cameron,Elisabeth L",2011 Fall,,,4,36,27,16,16,9,2,5,,,,,1,0,0,,,,1,,,
COWL- 80A,UD: Imagining Justice,"Cameron,Elisabeth L",2011 Fall,,,0,1,7,6,4,0,1,1,,,,,0,0,0,,,,0,,,
COWL- 80B,RI:Imagining Justice,"Cameron,Elisabeth L",2011 Fall,,,1,10,9,4,1,1,0,0,,,,,0,0,0,,,,0,,,
MERR- 80A,UD: Cultural IDs,"Carr,Emily",2011 Fall,,,0,17,3,7,10,8,5,9,,,,,0,0,0,,,,1,,,
BIOE- 161,Kelp Forest Ecology,"Carr,Emily",2011 Fall,,,2,4,4,11,7,1,0,0,,,,,0,0,0,,,,0,,,
BIOE- 161L,Kelp Forest Eco Lab,"Carr,Emily",2011 Fall,,,2,4,4,11,7,1,0,0,,,,,0,0,0,,,,0,,,
MUSC- 130,"Theory,Lit,Music II","Carson,Benjamin L.",2011 Fall,,,2,4,7,9,3,4,1,0,,,,,0,0,0,,,,1,,,
KRSG- 80B,RI:Power&Representat,"Carson,Benjamin L.",2011 Fall,,,0,15,8,12,6,3,0,0,,,,,0,1,0,,,,0,,,
STEV- 80A,UD:Self & Society,"Carson,Benjamin L.",2011 Fall,,,0,4,13,2,4,1,0,0,,,,,0,0,0,,,,0,,,
PHYS- 6A,Intro Physics I,"Carter,Sue A",2011 Fall,,,5,40,32,60,71,49,52,67,,,,,17,2,1,,,,5,,,
SPAN- 2,Instr Spanish Lang,"Carter,Sue A",2011 Fall,,,2,5,10,3,3,0,0,0,,,,,0,0,0,,,,0,,,
SPAN- 3,Instr Spanish Lang,"Carter,Sue A",2011 Fall,,,2,10,18,8,3,1,1,0,,,,,0,2,1,,,,0,,,
HIS- 128,Chicana/o History,"Carter,Sue A",2011 Fall,,,8,13,11,13,0,3,0,0,,,,,1,1,0,,,,0,,,
HIS- 190D,Tale of Two Cities,"Carter,Sue A",2011 Fall,,,2,8,3,0,0,0,0,0,,,,,0,0,0,,,,0,,,
ITAL- 1,Instr Italian Lang,"Centineo,Giulia",2011 Fall,,,6,6,9,13,18,3,3,6,,,,,0,4,2,,,,1,,,
CRWN- 80A,UD:Ethical Issues,"Chaffin,Cheryl L.",2011 Fall,,,0,4,3,5,4,0,3,0,,,,,0,1,0,,,,0,,,
AMST- 100,Concepts Amer Study,"Chaffin,Cheryl L.",2011 Fall,,,0,6,0,3,4,3,0,0,,,,,0,0,0,,,,0,,,
COWL- 80A,UD: Imagining Justice,"Chaffin,Cheryl L.",2011 Fall,,,0,5,1,6,3,3,2,1,,,,,0,0,0,,,,0,,,
COWL- 80B,RI:Imagining Justice,"Chaffin,Cheryl L.",2011 Fall,,,0,10,4,4,2,0,0,1,,,,,1,0,0,,,,0,,,
CMPE- 125,Log Desgn W/Verilog,"Chaffin,Cheryl L.",2011 Fall,,,0,5,1,2,4,1,1,3,,,,,2,0,0,,,,2,,,
CMPE- 125L,Verilog Laboratory,"Chaffin,Cheryl L.",2011 Fall,,,0,5,1,2,4,1,1,3,,,,,2,0,0,,,,2,,,
KRSG- 80B,RI:Power&Representat,"Chan,Stephanie Hedy",2011 Fall,,,0,3,7,4,4,1,1,2,,,,,1,0,0,,,,0,,,
BIOL- 125,Intro to Neurosci,"Chen,Bin",2011 Fall,,,2,3,12,24,28,32,29,12,,,,,2,0,0,,,,0,,,
ANTH- 130G,As Amer Ethnog/Film,"Chen,Nancy N",2011 Fall,,,3,10,7,11,6,7,1,3,,,,,1,0,1,,,,0,,,
COWL- 80A,UD: Imagining Justice,"Chen,Nancy N",2011 Fall,,,0,5,8,6,2,0,0,0,,,,,0,2,0,,,,0,,,
COWL- 80B,RI:Imagining Justice,"Chen,Nancy N",2011 Fall,,,2,6,6,5,1,0,0,1,,,,,0,0,0,,,,0,,,
BIOE- 75,Sci Diving Cert,"Clabuesch,Stephen R",2011 Fall,,,1,3,4,3,0,0,0,0,,,,,0,0,0,,,,0,,,
EART- 101,The Fossil Record,"Clapham,Matthew E",2011 Fall,,,1,0,3,2,1,4,1,3,,,,,1,0,0,,,,0,,,
PHYE- 20D,Modern Dance,"Clapham,Matthew E",2011 Fall,,,0,0,0,0,0,0,0,0,,,,,0,18,4,,,,1,,,
PHYE- 30G,Fitness Conditioning,"Clapham,Matthew E",2011 Fall,,,0,0,0,0,0,0,0,0,,,,,0,18,3,,,,0,,,
PHYE- 30L,Yoga Exercises,"Clapham,Matthew E",2011 Fall,,,0,0,0,0,0,0,0,0,,,,,0,15,2,,,,0,,,
HAVC- 160A,Pre-Hispanic Mexico,"Cole,Ethan",2011 Fall,,,0,16,2,23,23,19,16,11,,,,,4,6,1,,,,2,,,
CRWN- 80A,UD:Ethical Issues,"Conard,Kristin",2011 Fall,,,0,6,6,5,8,4,9,3,,,,,1,0,0,,,,0,,,
KRSG- 80A,UD:Power&Represnt,"Cooper,Wade Stewart",2011 Fall,,,0,10,13,13,11,0,0,1,,,,,0,0,0,,,,0,,,
MATH- 30,Math Problm Solving,"Cooperstein,Bruce N",2011 Fall,,,0,6,1,5,1,1,0,0,,,,,0,0,1,,,,1,,,
LTWL- 150A,Worldings,"Cooppan,Vilashini",2011 Fall,,,1,14,8,4,1,0,0,0,,,,,0,1,0,,,,0,,,
CRWN- 185,Career&Internship,"Cope,Katrina L",2011 Fall,,,0,12,5,2,4,0,0,0,,,,,0,2,0,,,,0,,,
BIOE- 165,Marine Conserv Bio,"Croll,Donald A",2011 Fall,,,3,26,13,4,2,1,0,0,,,,,0,0,0,,,,0,,,
LALS- 121,Antro juventudes,"Cruz Salazar,Tania",2011 Fall,,,2,2,1,1,0,4,0,1,,,,,1,2,0,,,,1,,,
THEA- 50,Fundamen Production,"Cruz Salazar,Tania",2011 Fall,,,1,46,0,0,14,1,0,0,,,,,2,1,0,,,,2,,,
THEA- 55A,Barnstorm,"Cruz Salazar,Tania",2011 Fall,,,9,5,1,0,1,0,0,0,,,,,0,0,0,,,,0,,,
THEA- 55B,Barnstorm Lab,"Cruz Salazar,Tania",2011 Fall,,,26,36,6,3,0,2,0,0,,,,,0,6,1,,,,0,,,
HIS- 185I,Latn Am Jewish Hist,"Daccarett,Paula",2011 Fall,,,0,2,3,3,8,1,0,0,,,,,2,1,0,,,,0,,,
AMST- 113A,Imagining America,"Daccarett,Paula",2011 Fall,,,0,9,6,13,10,6,2,9,,,,,0,6,0,,,,0,,,
AMST- 180,TopicsAmericanStudies,"Daccarett,Paula",2011 Fall,,,0,2,4,6,3,1,3,0,,,,,0,0,0,,,,0,,,
BIOL- 20A,Cell & Molecular Bi,"Daccarett,Paula",2011 Fall,,,14,36,46,55,70,0,60,103,,,,,54,0,1,,,,5,,,
BIOL- 100,Biochemistry,"Daccarett,Paula",2011 Fall,,,3,28,0,14,74,0,18,73,,,,,39,0,0,,,,1,,,
MATH- 100,Intr Proof/Prb Solv,"Dasgupta,Samit",2011 Fall,,,1,4,6,7,14,18,7,10,,,,,8,0,0,,,,0,,,
CMPS- 160,Intro Comp Graphics,"Davis,James Edward",2011 Fall,,,22,22,12,11,6,3,3,2,,,,,3,0,0,,,,0,,,
CLTE- 80A,UD:Social Justice,"Davis,William R",2011 Fall,,,1,3,5,2,12,10,2,4,,,,,1,0,0,,,,0,,,
CMPS- 183,Hypermedia/Web,"De Alfaro,Luca",2011 Fall,,,3,12,2,4,20,9,6,7,,,,,1,0,0,,,,1,,,
ANTH- 80I,Cltr Power Lat Amer,"Delgado-P,Guillermo",2011 Fall,,,11,20,12,14,4,5,0,0,,,,,0,3,0,,,,2,,,
TIM- 101,Mgmt Of Tech Seminr,"Delgado-P,Guillermo",2011 Fall,,,1,95,2,0,0,0,0,0,,,,,0,0,0,,,,1,,,
TIM- 105,Mgmt of Tech I,"Delgado-P,Guillermo",2011 Fall,,,5,7,10,22,11,4,0,5,,,,,1,1,0,,,,0,,,
HIS- 178A,Europ Intellec Hist,"Deutsch,Nathaniel P",2011 Fall,,,0,6,10,6,7,5,1,2,,,,,2,3,0,,,,1,,,
HIS- 11A,L.Amer ColonlPeriod,"Diaz,Maria E",2011 Fall,,,0,12,12,20,10,14,3,4,,,,,5,5,0,,,,1,,,
PHIL- 80S,Nature Of Science,"Dinishak,Janette",2011 Fall,,,2,9,9,13,18,29,17,15,,,,,1,21,0,,,,2,,,
MATH- 111A,Algebra,"Dong,Chongying",2011 Fall,,,9,3,3,5,5,9,5,5,,,,,6,0,1,,,,0,,,
SOCS- 194A,UCDC InternResearch,"Du Puis,E Melanie",2011 Fall,,,0,9,7,3,1,0,0,0,,,,,0,4,0,,,,0,,,
CMPE- 8,Robot Automation,"Dunbar,William B",2011 Fall,,,11,17,16,10,11,9,13,12,,,,,11,3,0,,,,3,,,
CRWN- 80A,UD:Ethical Issues,"Dunkle,Iris",2011 Fall,,,4,8,16,10,6,4,1,0,,,,,0,0,0,,,,0,,,
LTEL- 103J,Contemp Amer Lit,"Dunn,Carolyn Marie",2011 Fall,,,0,4,14,14,1,0,0,1,,,,,1,3,0,,,,0,,,
MATH- 11A,Calculus with Apps,"Eastman,Mark Richard",2011 Fall,,,1,9,37,47,37,35,44,84,,,,,30,2,0,,,,2,,,
POLI- 144,Andean Politics,"Eaton,Kent H",2011 Fall,,,1,3,12,3,8,6,3,4,,,,,5,1,0,,,,1,,,
OCEA- 1,The Oceans,"Edwards,Christopher A",2011 Fall,,,14,20,20,27,28,15,10,5,,,,,12,25,5,,,,5,,,
ECON- 126,Why Succeed/Fail,"Elbaum,Bernard L",2011 Fall,,,0,8,6,20,23,19,15,17,,,,,0,1,1,,,,4,,,
MUSC- 125,Adv Elec Sound Synt,"Elbaum,Bernard L",2011 Fall,,,0,18,0,0,2,0,0,0,,,,,0,0,0,,,,0,,,
MUSC- 167,Wksp Electron Music,"Elbaum,Bernard L",2011 Fall,,,0,13,0,0,2,0,0,0,,,,,0,0,0,,,,0,,,
FREN- 1,Instr French Lang,"Elbaum,Bernard L",2011 Fall,,,0,3,3,6,4,6,0,4,,,,,1,4,0,,,,3,,,
FREN- 6,Intermediate French,"Elbaum,Bernard L",2011 Fall,,,0,0,1,1,4,5,2,1,,,,,0,6,0,,,,0,,,
HAVC- 43,Modern Architecture,"Elbaum,Bernard L",2011 Fall,,,0,16,17,8,35,15,10,22,,,,,3,18,1,,,,3,,,
HAVC- 143A,Contemporary Arch,"Elbaum,Bernard L",2011 Fall,,,0,6,3,5,6,3,3,2,,,,,0,2,1,,,,0,,,
STEV- 80A,UD:Self & Society,"Engineer,Urmi Fanish",2011 Fall,,,0,2,7,12,11,11,2,3,,,,,0,0,0,,,,0,,,
CRWN- 80A,UD:Ethical Issues,"Engineer,Urmi Fanish",2011 Fall,,,0,3,9,6,4,2,1,0,,,,,0,0,0,,,,0,,,
CRWN- 80B,RI:Ethical Issues,"Engineer,Urmi Fanish",2011 Fall,,,0,12,8,2,1,0,0,0,,,,,0,2,0,,,,0,,,
ANTH- 154,Multimedia Ethnography,"Engineer,Urmi Fanish",2011 Fall,,,0,15,6,1,3,0,0,0,,,,,0,0,0,,,,1,,,
ANTH- 194V,Picturing Culture,"Engineer,Urmi Fanish",2011 Fall,,,0,2,3,0,1,3,0,1,,,,,0,0,0,,,,1,,,
HAVC- 51,Ancient Greek Art,"Evangelatou,Maria",2011 Fall,,,5,14,18,19,8,5,0,1,,,,,0,8,0,,,,2,,,
ECON- 128,Povrty/Publc Policy,"Fairlie,Robert W",2011 Fall,,,0,9,10,10,14,7,6,5,,,,,0,7,0,,,,0,,,
LALS- 150,"Afro-Lat Soc, Cul, Pol","Fairlie,Robert W",2011 Fall,,,0,2,3,4,4,3,2,8,,,,,0,2,0,,,,0,,,
LALS- 165,Contmp Peru,"Fairlie,Robert W",2011 Fall,,,2,2,7,3,6,1,2,5,,,,,2,3,0,,,,1,,,
LING- 53,Semantics I,"Farkas,Donka F",2011 Fall,,,3,19,9,8,21,5,1,2,,,,,2,1,0,,,,1,,,
CRWN- 80A,UD:Ethical Issues,"Farquhar,Dion N",2011 Fall,,,1,6,18,14,7,0,0,0,,,,,0,2,0,,,,0,,,
KRSG- 65C,Pwr & Rep: Writ,"Farquhar,Dion N",2011 Fall,,,1,9,4,0,0,0,0,0,,,,,0,0,0,,,,0,,,
KRSG- 80A,UD:Power&Represnt,"Farquhar,Dion N",2011 Fall,,,0,10,8,11,7,1,2,2,,,,,0,1,0,,,,0,,,
WRIT- 2,Rhetoric & Inquiry,"Faunce,B K",2011 Fall,,,0,2,5,0,9,11,13,0,,,,,0,7,0,,,,2,,,
LTCR- 10,Intro Creative Writ,"Fazzino,James Michael",2011 Fall,,,0,12,2,2,2,0,0,0,,,,,0,0,0,,,,0,,,
CLNI- 80A,UD:Intl/Global Issues,"Feld,Ari",2011 Fall,,,0,2,2,3,12,1,0,0,,,,,0,1,0,,,,0,,,
BIOL- 110,Cell Biology,"Feldheim,David A",2011 Fall,,,6,21,13,20,46,23,22,45,,,,,8,0,0,,,,5,,,
PRTR- 80B,RI:WritingAcrossArts,"Felton,Lori Gabrielle",2011 Fall,,,2,11,13,6,8,4,0,0,,,,,1,0,0,,,,0,,,
CMPE- 12,Com Sys/Assmbly Lan,"Ferguson,F Joel",2011 Fall,,,19,20,20,18,16,13,14,9,,,,,9,0,2,,,,2,,,
ANTH- 130T,ReligPoliticsMuslimWrld,"Ferguson,F Joel",2011 Fall,,,0,4,5,5,13,6,5,2,,,,,0,4,0,,,,1,,,
ANTH- 194R,Religion/Gender/Sex,"Ferguson,F Joel",2011 Fall,,,1,4,3,4,4,2,0,0,,,,,0,0,0,,,,0,,,
KRSG- 80A,UD:Power&Represnt,"Flanagan,Veronica Annette",2011 Fall,,,0,4,6,10,5,9,3,1,,,,,1,0,0,,,,0,,,
ECON- 161A,Marketing,"Flanagan,Veronica Annette",2011 Fall,,,1,29,12,1,39,0,5,14,,,,,1,1,0,,,,0,,,
ECON- 164,Telecommunica Indus,"Flanagan,Veronica Annette",2011 Fall,,,0,11,4,6,4,1,0,1,,,,,0,0,0,,,,0,,,
METX- 101,Source of Pollutnts,"Flegal,A Russell",2011 Fall,,,0,8,3,0,3,2,2,2,,,,,0,0,0,,,,0,,,
PRTR- 83,Pac Rim Film Fest,"Flegal,A Russell",2011 Fall,,,2,5,4,4,3,0,0,1,,,,,0,3,1,,,,0,,,
THEA- 22,Indonesian Dance,"Flegal,A Russell",2011 Fall,,,8,11,1,4,0,0,0,0,,,,,0,0,0,,,,1,,,
THEA- 161D,Asian Theater,"Flegal,A Russell",2011 Fall,,,0,2,7,1,3,0,1,0,,,,,0,2,0,,,,0,,,
PHYE- 9B,BegDinghySailing,"Forrest,Christopher Wayne",2011 Fall,,,0,0,0,0,0,0,0,0,,,,,0,25,3,,,,1,,,
ASTR- 112,Physics of Stars,"Fortney,Jonathan J",2011 Fall,,,0,3,4,1,5,5,1,5,,,,,1,0,0,,,,0,,,
CRWN- 80A,UD:Ethical Issues,"Fortney,Jonathan J",2011 Fall,,,5,6,10,5,3,0,0,3,,,,,0,1,0,,,,0,,,
MERR- 80A,UD: Cultural IDs,"Fortney,Jonathan J",2011 Fall,,,2,7,6,2,0,0,0,0,,,,,0,0,0,,,,0,,,
PSYC- 125,Psych of Language,"Fortney,Jonathan J",2011 Fall,,,0,14,16,11,25,17,12,18,,,,,5,4,1,,,,2,,,
PSYC- 194B,Adv Cognitive Res,"Fortney,Jonathan J",2011 Fall,,,1,6,2,0,2,0,0,0,,,,,0,0,0,,,,0,,,
BIOE- 183L,Undergrad Res: EEB,"Fox,Laurel R",2011 Fall,,,0,7,0,2,0,0,0,0,,,,,1,0,0,,,,0,,,
COWL- 80A,UD: Imagining Justice,"Frangos,Maria",2011 Fall,,,0,0,20,18,7,1,0,0,,,,,0,0,0,,,,0,,,
THEA- 128,Choreographic Wkshp,"Frangos,Maria",2011 Fall,,,0,7,1,3,0,0,0,0,,,,,0,0,0,,,,0,,,
THEA- 185,Senior Seminar,"Frangos,Maria",2011 Fall,,,0,14,24,13,2,1,1,2,,,,,0,0,0,,,,0,,,
LALS- 172,VisualizingHumanRights,"Fregoso,Rosa-Linda",2011 Fall,,,0,5,2,4,2,1,0,0,,,,,0,1,0,,,,0,,,
EE- 103,Signals & Systems,"Friedlander,Benjamin",2011 Fall,,,2,12,0,4,16,0,0,8,,,,,5,0,0,,,,0,,,
ECON- 166A,Game Theory /Apps I,"Friedman,Daniel",2011 Fall,,,0,13,7,7,7,3,3,3,,,,,1,0,0,,,,2,,,
ART- 130,Interm Photography,"Friedman,Susan",2011 Fall,,,0,7,2,4,4,6,0,1,,,,,0,0,0,,,,1,,,
STEV- 80B,RI:Self & Society,"Frisk,Jerome Edwin",2011 Fall,,,2,7,14,18,7,0,0,0,,,,,0,0,0,,,,0,,,
THEA- 20,Intr Studies Acting,"Fritsch,Gregory J",2011 Fall,,,1,36,10,9,12,2,1,0,,,,,0,1,0,,,,0,,,
JAPN- 1,Japanese Language,"Fritsch,Gregory J",2011 Fall,,,9,4,4,1,4,1,1,0,,,,,1,1,2,,,,0,,,
JAPN- 4,Intermed Japanese,"Fritsch,Gregory J",2011 Fall,,,1,7,4,11,6,7,3,2,,,,,3,3,1,,,,0,,,
LGST- 128I,Race and Justice,"Fritsch,Gregory J",2011 Fall,,,10,8,8,8,13,3,1,0,,,,,0,0,0,,,,0,,,
SOCY- 128I,Race and Justice,"Fritsch,Gregory J",2011 Fall,,,15,10,5,9,12,2,4,1,,,,,0,2,0,,,,0,,,
CHEM- 1M,Gen Chem Lab,"Funatogawa,Chie",2011 Fall,,,0,45,14,10,32,9,3,11,,,,,0,1,0,,,,5,,,
ECON- 1,Intro Microeconomic,"Funatogawa,Chie",2011 Fall,,,4,56,41,48,56,46,37,92,,,,,14,22,1,,,,5,,,
ECON- 149,East&Southeast Asia,"Funatogawa,Chie",2011 Fall,,,35,48,45,29,38,21,11,15,,,,,0,3,0,,,,0,,,
